,Court,Surface,round,Best of,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,hand_player1,height_player1,hand_player2,height_player2,age_player1,age_player2,T,Y
9304,Indoor,Hard,3,3,13,8,2460,3825,2.0,1.8,R,188.0,R,185.0,21,25,0,1
9305,Indoor,Hard,4,3,3,2,6260,7445,3.0,1.4,R,185.0,R,188.0,37,31,1,1
9306,Indoor,Hard,1,3,9,3,3390,6020,4.0,1.22,R,178.0,R,185.0,28,37,0,0
9307,Indoor,Hard,1,3,7,5,4050,5085,2.0,1.8,R,198.0,R,198.0,30,21,1,0
9308,Indoor,Hard,1,3,7,10,4050,3155,1.44,2.75,R,198.0,R,206.0,30,33,1,0
9309,Indoor,Hard,1,3,10,5,3155,5085,3.2,1.36,R,206.0,R,198.0,33,21,1,0
9310,Indoor,Hard,1,3,1,7,8045,4050,1.2,4.5,R,188.0,R,198.0,31,30,0,0
9311,Outdoor,Hard,1,3,61,38,814,1083,2.75,1.4,R,188.0,R,183.0,27,29,1,1
9312,Outdoor,Hard,1,3,49,63,974,810,1.44,2.62,R,193.0,R,180.0,21,26,1,1
9313,Outdoor,Hard,1,3,35,62,1125,810,1.4,2.75,R,193.0,R,183.0,23,26,0,0
9315,Outdoor,Hard,2,3,14,185,2150,275,1.22,4.0,R,188.0,R,183.0,23,26,1,1
9316,Outdoor,Hard,2,3,40,35,1050,1125,3.0,1.36,R,188.0,R,193.0,31,23,1,1
9318,Outdoor,Hard,3,3,16,18,1977,1855,2.0,1.8,R,198.0,R,196.0,22,28,1,0
9319,Outdoor,Hard,1,3,43,50,1022,965,2.1,1.66,R,198.0,R,190.0,23,31,1,1
9320,Outdoor,Hard,1,3,249,58,183,860,4.5,1.18,R,185.0,L,185.0,23,28,1,1
9321,Outdoor,Hard,1,3,66,11,785,2835,2.75,1.4,R,183.0,R,198.0,33,22,0,1
9322,Outdoor,Hard,2,3,48,116,985,507,1.66,2.1,R,180.0,R,175.0,28,28,0,1
9323,Outdoor,Hard,3,3,20,48,1819,985,2.62,1.5,R,185.0,R,180.0,26,28,0,1
9324,Outdoor,Hard,4,3,71,20,715,1819,1.44,2.75,R,196.0,R,185.0,33,26,0,1
9325,Outdoor,Hard,1,3,91,86,622,636,2.25,1.57,R,193.0,R,196.0,24,21,1,0
9326,Outdoor,Hard,1,3,52,120,935,475,1.34,3.07,R,196.0,L,183.0,29,24,0,0
9327,Outdoor,Hard,2,3,95,25,612,1585,3.0,1.36,R,190.0,R,188.0,30,22,0,1
9328,Outdoor,Hard,2,3,6,93,4710,621,1.25,3.75,R,203.0,R,188.0,32,23,0,0
9329,Outdoor,Hard,2,3,30,91,1370,622,1.44,2.62,R,183.0,R,193.0,34,24,1,1
9330,Outdoor,Hard,2,3,132,45,433,1014,1.72,2.0,R,188.0,R,185.0,24,34,0,0
9331,Outdoor,Hard,3,3,100,95,589,612,2.1,1.72,R,208.0,R,190.0,39,30,0,1
9332,Outdoor,Hard,4,3,6,100,4710,589,1.28,3.75,R,203.0,R,208.0,32,39,0,1
9333,Outdoor,Hard,2,3,50,10,933,3155,2.37,1.53,R,193.0,R,206.0,21,33,0,0
9334,Outdoor,Hard,2,3,44,93,1017,616,2.37,1.53,R,185.0,L,188.0,29,23,1,1
9335,Outdoor,Hard,3,3,50,93,933,616,2.0,1.8,R,193.0,L,188.0,21,23,1,1
9336,Outdoor,Hard,3,3,58,24,855,1705,1.8,2.0,R,193.0,R,188.0,28,27,0,0
9337,Outdoor,Hard,1,3,40,149,1050,367,1.61,2.2,L,190.0,R,196.0,29,19,0,1
9338,Outdoor,Hard,2,3,40,37,1050,1100,2.0,1.72,L,190.0,R,190.0,29,34,1,1
9339,Outdoor,Hard,2,3,31,48,1210,955,1.83,1.83,R,183.0,R,198.0,34,31,0,1
9340,Outdoor,Hard,3,3,72,29,715,1253,3.75,1.28,R,183.0,R,183.0,24,19,1,1
9341,Outdoor,Hard,4,3,19,37,1880,1100,1.44,2.75,R,170.0,R,190.0,26,34,1,0
9342,Outdoor,Hard,1,5,77,137,708,401,3.0,1.4,R,183.0,R,185.0,27,27,0,1
9343,Outdoor,Hard,1,5,28,125,1410,458,1.5,2.62,L,188.0,R,183.0,35,19,0,0
9344,Outdoor,Hard,1,5,54,15,920,2095,3.2,1.36,R,196.0,R,193.0,22,20,0,0
9345,Outdoor,Hard,1,5,39,109,1080,515,1.28,3.75,R,188.0,L,188.0,20,29,0,0
9346,Outdoor,Hard,1,5,10,97,3155,593,1.5,2.62,R,206.0,R,211.0,33,21,1,0
9347,Outdoor,Hard,1,5,45,53,1015,920,2.0,1.8,R,198.0,R,188.0,23,31,1,1
9348,Outdoor,Hard,1,5,73,76,739,708,1.8,2.0,R,208.0,R,196.0,39,21,1,1
9349,Outdoor,Hard,1,5,25,78,1585,704,1.44,2.75,R,188.0,L,190.0,22,28,1,1
9350,Outdoor,Hard,1,5,44,65,1017,790,1.72,2.1,R,185.0,L,185.0,29,28,0,0
9351,Outdoor,Hard,1,5,163,23,325,1705,3.75,1.28,R,198.0,R,188.0,33,27,0,1
9352,Outdoor,Hard,1,5,96,92,599,627,2.1,1.72,R,185.0,R,188.0,28,23,1,1
9353,Outdoor,Hard,1,5,133,30,421,1280,3.75,1.28,R,183.0,R,183.0,25,34,1,0
9354,Outdoor,Hard,2,5,3,189,6420,266,1.02,17.0,R,185.0,R,175.0,37,28,0,0
9355,Outdoor,Hard,2,5,97,102,593,573,1.33,3.4,R,211.0,R,173.0,21,29,0,1
9356,Outdoor,Hard,2,5,59,17,830,1900,3.5,1.3,R,183.0,R,196.0,33,28,0,0
9357,Outdoor,Hard,2,5,53,13,920,2315,2.37,1.57,R,188.0,R,178.0,31,31,1,0
9358,Outdoor,Hard,2,5,31,71,1245,744,1.72,2.1,R,185.0,L,191.0,24,23,0,1
9359,Outdoor,Hard,2,5,36,4,1120,6385,6.5,1.11,R,188.0,R,198.0,31,21,1,1
9360,Outdoor,Hard,3,5,39,35,1080,1170,2.0,1.8,R,188.0,R,190.0,20,34,1,0
9361,Outdoor,Hard,3,5,102,21,573,1790,9.0,1.07,R,173.0,R,188.0,29,27,1,1
9362,Outdoor,Hard,3,5,9,44,3750,1017,1.14,5.5,R,178.0,R,185.0,29,29,0,0
9363,Outdoor,Hard,3,5,31,149,1245,360,1.44,2.75,R,185.0,R,196.0,24,19,0,0
9364,Outdoor,Hard,4,5,7,24,4160,1605,1.72,2.1,R,198.0,R,183.0,30,30,0,0
9365,Outdoor,Hard,4,5,15,3,2095,6420,5.5,1.14,R,193.0,R,185.0,20,37,1,0
9366,Outdoor,Hard,4,5,31,12,1245,2435,4.0,1.25,R,185.0,R,188.0,24,22,1,1
9367,Outdoor,Hard,4,5,23,9,1705,3750,4.5,1.2,R,188.0,R,178.0,27,29,0,1
9368,Outdoor,Hard,5,5,17,31,1900,1245,1.14,5.5,R,196.0,R,185.0,28,24,1,0
9369,Outdoor,Clay,1,3,168,451,324,19,1.44,2.62,L,183.0,R,185.0,28,18,1,0
9371,Outdoor,Clay,2,3,74,77,709,696,2.75,1.4,R,183.0,L,190.0,25,28,0,0
9372,Outdoor,Clay,2,3,92,43,616,1007,1.2,4.33,R,180.0,R,185.0,33,35,0,0
9373,Outdoor,Clay,2,3,20,168,1835,324,1.08,8.0,R,170.0,L,183.0,26,28,1,1
9374,Outdoor,Clay,3,3,65,92,760,616,2.1,1.72,R,181.0,R,180.0,29,33,1,0
9375,Indoor,Hard,1,3,78,111,694,520,1.4,2.75,R,208.0,R,190.0,39,32,1,1
9376,Indoor,Hard,1,3,72,195,710,264,1.44,2.62,R,185.0,R,190.0,26,37,0,0
9377,Indoor,Hard,2,3,90,83,620,659,2.37,1.53,R,175.0,R,190.0,29,30,0,0
9378,Indoor,Hard,2,3,128,17,438,1955,2.75,1.4,R,183.0,R,185.0,33,24,0,1
9379,Indoor,Hard,3,3,72,79,710,685,3.2,1.36,R,185.0,R,196.0,26,33,1,1
9380,Indoor,Hard,1,3,22,180,1820,285,1.28,3.5,R,185.0,R,196.0,26,31,1,1
9381,Indoor,Hard,1,3,55,88,890,627,1.28,3.5,R,183.0,R,188.0,31,23,0,1
9382,Indoor,Hard,2,3,11,53,2880,904,1.28,3.5,R,198.0,R,196.0,22,22,0,0
9383,Indoor,Hard,2,3,38,180,1066,285,1.44,2.62,L,190.0,R,196.0,29,31,0,0
9384,Indoor,Hard,2,3,121,47,468,959,3.0,1.36,R,185.0,R,188.0,29,26,1,0
9385,Indoor,Hard,2,3,51,12,910,2805,2.62,1.44,R,193.0,R,193.0,28,20,1,0
9386,Outdoor,Clay,1,3,109,47,515,970,2.37,1.53,R,191.0,R,198.0,23,23,1,1
9387,Outdoor,Clay,1,3,149,44,380,1007,1.4,2.75,R,175.0,R,185.0,36,35,0,0
9388,Outdoor,Clay,2,3,93,18,610,1870,2.37,1.53,R,185.0,R,185.0,22,26,1,1
9389,Outdoor,Clay,3,3,119,18,467,1870,2.5,1.53,R,183.0,R,185.0,25,26,1,1
9390,Outdoor,Clay,3,3,50,77,930,707,2.1,1.72,L,185.0,R,183.0,28,21,1,1
9391,Indoor,Hard,1,3,76,111,708,493,1.22,4.0,R,188.0,R,183.0,27,37,1,1
9392,Indoor,Hard,1,3,60,152,775,372,1.66,2.1,R,183.0,R,175.0,24,22,1,1
9393,Indoor,Hard,1,3,102,123,547,450,2.25,1.57,R,188.0,R,196.0,35,19,0,1
9394,Indoor,Hard,1,3,49,98,940,577,1.44,2.62,R,198.0,R,193.0,31,21,0,0
9395,Indoor,Hard,1,3,79,81,705,674,2.1,1.66,R,175.0,R,208.0,29,39,1,0
9396,Indoor,Hard,2,3,87,9,649,3155,2.75,1.4,R,193.0,R,206.0,26,33,1,0
9397,Indoor,Hard,2,3,37,102,1088,547,1.3,3.4,R,183.0,R,188.0,29,35,1,1
9398,Indoor,Hard,3,3,154,111,367,493,1.72,2.1,R,193.0,R,183.0,23,37,1,0
9399,Indoor,Hard,4,3,154,49,367,940,4.33,1.22,R,193.0,R,198.0,23,31,0,1
9400,Indoor,Hard,4,3,9,89,3155,633,1.4,3.0,R,206.0,R,211.0,33,21,0,1
9401,Indoor,Hard,1,3,61,40,770,1060,2.2,1.61,R,185.0,R,190.0,29,34,1,1
9402,Indoor,Hard,1,3,58,68,795,740,2.5,1.5,R,196.0,R,183.0,29,33,1,0
9403,Indoor,Hard,1,3,14,32,2250,1250,1.25,3.75,R,196.0,R,178.0,28,35,0,1
9404,Indoor,Hard,1,3,31,59,1280,775,2.5,1.5,R,183.0,R,196.0,34,33,1,0
9405,Indoor,Hard,1,3,33,21,1240,1740,1.83,1.83,R,193.0,R,180.0,32,28,0,1
9406,Indoor,Hard,1,3,39,38,1079,1080,1.66,2.1,L,190.0,R,188.0,29,27,1,0
9407,Indoor,Hard,1,3,16,35,2160,1180,1.22,4.0,R,198.0,R,188.0,23,32,0,1
9408,Indoor,Hard,2,3,38,20,1080,1820,1.83,1.83,R,188.0,R,185.0,27,26,0,0
9409,Outdoor,Hard,1,3,67,102,745,542,2.1,1.66,L,188.0,R,188.0,37,32,1,0
9410,Outdoor,Hard,1,3,98,162,577,341,1.57,2.25,R,193.0,R,188.0,21,26,0,1
9411,Outdoor,Hard,1,3,82,88,680,629,2.0,1.72,R,175.0,R,208.0,29,39,0,1
