,surface,best_of,Round,player_hand,player_ht,player_age,player_rank,opponent_hand,opponent_ht,opponent_age,opponent_rank,log_rank_difference,T,Y
2660,Hard,3,2,L,190.0,28.0,122.0,R,190.0,22.3,23.0,2.4071753815058736,0,1
2662,Clay,3,2,R,188.0,27.6,100.0,R,180.0,26.8,143.0,-0.5160151470036647,1,1
2669,Hard,3,2,R,193.0,26.0,15.0,R,193.0,23.5,54.0,-1.8479969065549495,0,0
2672,Hard,3,2,R,188.0,21.8,25.0,R,180.0,21.4,17.0,0.5563933485243853,1,1
2675,Hard,3,2,R,180.0,30.5,86.0,R,185.0,25.3,25.0,1.7824085649273735,0,0
2680,Hard,3,2,R,193.0,21.9,192.0,R,190.0,19.6,435.0,-1.1799090900149345,0,1
2683,Hard,3,2,R,178.0,24.3,177.0,L,183.0,17.5,470.0,-1.4089113964820017,1,1
2686,Hard,3,4,R,208.0,29.6,21.0,R,193.0,24.1,28.0,-0.41503749927884304,1,1
2687,Hard,3,1,L,203.0,37.0,191.0,L,188.0,22.9,272.0,-0.5100340132145904,0,0
2693,Hard,3,5,R,193.0,23.3,13.0,R,180.0,28.8,65.0,-2.321928094887362,0,1
2699,Hard,3,5,R,185.0,28.4,115.0,R,180.0,23.1,15.0,2.938599455335856,1,0
